model_name,model_type,metric,mean,std_dev
BM-7.keras,Plain Model,classification_accuracy,0.8898491308625779,0.0012184885528540522
BM-7.keras,Plain Model,balanced_accuracy,0.6898889104178776,0.013340645395303942
BM-7.keras,Plain Model,disparate_impact,1.5358459751139641,0.05793836976346187
BM-7.keras,Plain Model,equal_opportunity_difference,-0.08094604863221884,0.02210206617948399
BM-7.keras,Plain Model,average_odds_difference,-0.023940329852125908,0.010637602945920206
BM-7.keras,Plain Model,precision,0.7652227596971894,0.005156828968020199
BM-7.keras,Plain Model,recall,0.6898889104178776,0.013340645395303942
BM-7.keras,Plain Model,f1,0.7177023112948243,0.00959802248306844
BM-7.keras,Debiased Model,classification_accuracy,0.8911610364053788,0.0007335608149014418
BM-7.keras,Debiased Model,balanced_accuracy,0.6923029670112572,0.012491165170843662
BM-7.keras,Debiased Model,disparate_impact,1.375259959824856,0.1399519443061255
BM-7.keras,Debiased Model,equal_opportunity_difference,-0.10769376899696051,0.04048889720651578
BM-7.keras,Debiased Model,average_odds_difference,-0.04275012782830815,0.021571552094962317
BM-7.keras,Debiased Model,precision,0.7694028333860279,0.004296808604253308
BM-7.keras,Debiased Model,recall,0.6923029670112572,0.012491165170843662
BM-7.keras,Debiased Model,f1,0.7207723135519268,0.008274550688671363
BM-6.keras,Plain Model,classification_accuracy,0.8873073138734011,0.0008794416318656645
BM-6.keras,Plain Model,balanced_accuracy,0.6899805669215952,0.010991376625670598
BM-6.keras,Plain Model,disparate_impact,2.1177974598156735,0.09670075284809082
BM-6.keras,Plain Model,equal_opportunity_difference,-0.00938449848024318,0.016828629002117877
BM-6.keras,Plain Model,average_odds_difference,0.0355473267660628,0.009427814698219277
BM-6.keras,Plain Model,precision,0.7559699032658886,0.0020578795986608014
BM-6.keras,Plain Model,recall,0.6899805669215952,0.010991376625670598
BM-6.keras,Plain Model,f1,0.7152862771251172,0.008088117738472582
BM-6.keras,Debiased Model,classification_accuracy,0.8932436864545753,0.000800020394729456
BM-6.keras,Debiased Model,balanced_accuracy,0.6803279973101428,0.012852317749728644
BM-6.keras,Debiased Model,disparate_impact,1.2276704341712876,0.056507769741795236
BM-6.keras,Debiased Model,equal_opportunity_difference,-0.11268996960486324,0.016022602023312495
BM-6.keras,Debiased Model,average_odds_difference,-0.05271916909488148,0.008121107901570517
BM-6.keras,Debiased Model,precision,0.7819924109671026,0.0038512650319132615
BM-6.keras,Debiased Model,recall,0.6803279973101428,0.012852317749728644
BM-6.keras,Debiased Model,f1,0.7144032587608007,0.010082189549186618
BM-5.keras,Plain Model,classification_accuracy,0.8906854706461134,0.0005830235760784227
BM-5.keras,Plain Model,balanced_accuracy,0.7383463979468944,0.007131302690006659
BM-5.keras,Plain Model,disparate_impact,1.5115348562322015,0.04972641881737239
BM-5.keras,Plain Model,equal_opportunity_difference,-0.09199594731509628,0.01735471204293926
BM-5.keras,Plain Model,average_odds_difference,-0.026563554107031716,0.009345248414202095
BM-5.keras,Plain Model,precision,0.7599439308098759,0.0016772518112370884
BM-5.keras,Plain Model,recall,0.7383463979468944,0.007131302690006659
BM-5.keras,Plain Model,f1,0.7483003566434696,0.003600358391603332
BM-5.keras,Debiased Model,classification_accuracy,0.8913414234175139,0.0011460416667534142
BM-5.keras,Debiased Model,balanced_accuracy,0.7422574711923133,0.006652652068903532
BM-5.keras,Debiased Model,disparate_impact,1.12093951634758,0.09676312806370237
BM-5.keras,Debiased Model,equal_opportunity_difference,-0.18624620060790278,0.025269937448865465
BM-5.keras,Debiased Model,average_odds_difference,-0.08945487128600407,0.016172440071588374
BM-5.keras,Debiased Model,precision,0.761362620201043,0.003141261078509985
BM-5.keras,Debiased Model,recall,0.7422574711923133,0.006652652068903532
BM-5.keras,Debiased Model,f1,0.7511204094998207,0.003216278840864407
BM-8.keras,Plain Model,classification_accuracy,0.8906034765496885,0.0006974801678627914
BM-8.keras,Plain Model,balanced_accuracy,0.7236813573520864,0.006674242869441513
BM-8.keras,Plain Model,disparate_impact,1.8533229306371293,0.032723382237028344
BM-8.keras,Plain Model,equal_opportunity_difference,-0.03306737588652485,0.007027722917285998
BM-8.keras,Plain Model,average_odds_difference,0.016576900062615557,0.003514597189123842
BM-8.keras,Plain Model,precision,0.7612340934669545,0.0022772468773472067
BM-8.keras,Plain Model,recall,0.7236813573520864,0.006674242869441513
BM-8.keras,Plain Model,f1,0.7400829693281389,0.0035215267279620354
BM-8.keras,Debiased Model,classification_accuracy,0.8933584781895704,0.0021940737737924975
BM-8.keras,Debiased Model,balanced_accuracy,0.725050885981209,0.017378737836894885
BM-8.keras,Debiased Model,disparate_impact,1.3118474236573563,0.11604525642285643
BM-8.keras,Debiased Model,equal_opportunity_difference,-0.12555091185410333,0.035019139495224595
BM-8.keras,Debiased Model,average_odds_difference,-0.053487915968698896,0.02002047755328905
BM-8.keras,Debiased Model,precision,0.7698800452749758,0.00762369454985526
BM-8.keras,Debiased Model,recall,0.725050885981209,0.017378737836894885
BM-8.keras,Debiased Model,f1,0.7435697771197523,0.010139890578419263
BM-4.keras,Plain Model,classification_accuracy,0.8931452935388652,0.0010708315983807414
BM-4.keras,Plain Model,balanced_accuracy,0.7304435177481184,0.013283654306421921
BM-4.keras,Plain Model,disparate_impact,1.3532834961055151,0.07812497239398668
BM-4.keras,Plain Model,equal_opportunity_difference,-0.09148302938196558,0.020029340883425853
BM-4.keras,Plain Model,average_odds_difference,-0.03868509593441012,0.010871029124032401
BM-4.keras,Plain Model,precision,0.767947728466044,0.004348965402185821
BM-4.keras,Plain Model,recall,0.7304435177481184,0.013283654306421921
BM-4.keras,Plain Model,f1,0.7465795438178474,0.006802309667552082
BM-4.keras,Debiased Model,classification_accuracy,0.8954247294194817,0.0014521059565275889
BM-4.keras,Debiased Model,balanced_accuracy,0.7236684874492327,0.015670825555933708
BM-4.keras,Debiased Model,disparate_impact,1.3625374779921613,0.08478832539852715
BM-4.keras,Debiased Model,equal_opportunity_difference,-0.1669326241134752,0.03854368171505297
BM-4.keras,Debiased Model,average_odds_difference,-0.06547589509698497,0.01814500119190266
BM-4.keras,Debiased Model,precision,0.7762346524063188,0.004889592688102715
BM-4.keras,Debiased Model,recall,0.7236684874492327,0.015670825555933708
BM-4.keras,Debiased Model,f1,0.7452047456130823,0.009816439850723448
BM-3.keras,Plain Model,classification_accuracy,0.8947687766480813,0.0016383232999685174
BM-3.keras,Plain Model,balanced_accuracy,0.6968935093898051,0.019275823127238353
BM-3.keras,Plain Model,disparate_impact,1.400313170480429,0.08960215190330877
