Model File,Model,Classification Accuracy,Balanced Accuracy,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Precision,Recall,F1
BM-7.keras,Plain Model,0.889963922597573,0.7118549851639939,1.475997339196955,-0.12025075987841943,-0.040096407957066454,0.7608298191120044,0.7118549851639939,0.7324347789183541
BM-7.keras,Debiased Model,0.8884880288619219,0.6820920288285824,1.0255876936409922,-0.19927811550151978,-0.09372348043526477,0.7608298191120044,0.7118549851639939,0.7324347789183541
BM-6.keras,Plain Model,0.8881600524762218,0.696360761898249,2.155424685811426,0.016210739614994918,0.04815286714360725,0.7575914739751152,0.696360761898249,0.7206645209130379
BM-6.keras,Debiased Model,0.8902918989832732,0.7147207943437014,1.0115986106861987,-0.22745694022289764,-0.10876562528566375,0.7575914739751152,0.696360761898249,0.7206645209130379
BM-5.keras,Plain Model,0.8906198753689735,0.7288311468745607,1.5543080364708675,-0.06091691995947318,-0.013043234367390077,0.7605673465469948,0.7288311468745607,0.7430914915604591
BM-5.keras,Debiased Model,0.8907838635618236,0.7401699587023338,1.0244919802930852,-0.2396783181357649,-0.11544182504739312,0.7605673465469948,0.7288311468745607,0.7430914915604591
BM-8.keras,Plain Model,0.8916038045260741,0.7170813054925516,1.517971835115399,-0.10574974670719356,-0.0326522905292464,0.7650135070616757,0.7170813054925516,0.7373859307073738
BM-8.keras,Debiased Model,0.891439816333224,0.7153806736800514,1.1347153098032052,-0.17717831813576496,-0.08294867629437236,0.7650135070616757,0.7170813054925516,0.7373859307073738
BM-4.keras,Plain Model,0.8896359462118727,0.7400455338112768,1.2022005673337657,-0.14045086119554206,-0.0666025399461104,0.7570655898406757,0.7400455338112768,0.7480932922151178
BM-4.keras,Debiased Model,0.8970154148901279,0.7362557985798466,1.237499346428011,-0.2210612968591692,-0.09371157706518532,0.7570655898406757,0.7400455338112768,0.7480932922151178
BM-3.keras,Plain Model,0.8934076746474254,0.6758173575572449,1.4792130196745081,-0.10125379939209728,-0.03646753986542331,0.7843628160342142,0.6758173575572449,0.7115345427869444
BM-3.keras,Debiased Model,0.894227615611676,0.7646386834136871,1.0282759969008637,-0.22011144883485312,-0.1113852319633743,0.7843628160342142,0.6758173575572449,0.7115345427869444
BM-2.keras,Plain Model,0.8855362413906199,0.6065024827989711,1.2670778191785517,-0.09118541033434652,-0.03914226048903388,0.7870651032999667,0.6065024827989711,0.6400293361776436
BM-2.keras,Debiased Model,0.8912758281403739,0.7002936807352277,0.8216669807671324,-0.2405015197568389,-0.12307831390489815,0.7870651032999667,0.6065024827989711,0.6400293361776436
BM-1.keras,Plain Model,0.8907838635618236,0.7498081387176068,1.5309651005281342,-0.11277862208713268,-0.03157090826337039,0.7593214489952871,0.7498081387176068,0.754423175020807
BM-1.keras,Debiased Model,0.894227615611676,0.7137705111108579,1.1331233183641813,-0.16919959473150964,-0.08042671763012416,0.7593214489952871,0.7498081387176068,0.754423175020807
